,sentiment,message,tweetid,text,is_retweet,is_quoted,quoted_text,date_time,retweets,favorites,hashtags,followers,verified,location,coordinate,language
21853,1,"RT @exinkygal: .@SenToomey Please make clear to .@POTUS that climate change is real. Green jobs matter. Stop hurting Americans health, econ…",870075395906908160,"RT @exinkygal: .@SenToomey Please make clear to .@POTUS that climate change is real. Green jobs matter. Stop hurting Americans health, econ…",True,False,,2017-06-01 00:31:54,2,2,[],907,False,"Philadelphia, PA",,en
21854,1,"@SFCFinance Hey! We have a new board for bouncing ideas on climate change, are you interested? https://t.co/LTVC09rfhf",870077321797128192,n,n,n,n,n,-999,-999,n,-999,-999,n,-999.0,n
21855,-1,Lol global warming isn't real. RIP to the dock. https://t.co/izt7d5SeGX,870078373204156418,Lol global warming isn't real. RIP to the dock. https://t.co/izt7d5SeGX,False,False,,2017-06-01 00:43:44,0,0,[],311,False,,,en
21856,1,RT @treubold: The connection between meat and climate change. Great visual explainer by @CivilEats https://t.co/DnwJRtvmtI,870080489662447616,RT @treubold: The connection between meat and climate change. Great visual explainer by @CivilEats https://t.co/DnwJRtvmtI,True,False,,2017-06-01 00:52:08,13,18,[],3741,False,"St Paul, MN, USA",,en
21857,2,"Roughly 4-in-10 Americans expect harmful effects from climate change on wildlife, shorelines and weather patterns… https://t.co/lmV9T9nbLc",870088512229576704,"Roughly 4-in-10 Americans expect harmful effects from climate change on wildlife, shorelines and weather patterns… https://t.co/lmV9T9nbLc",False,False,,2017-06-01 01:24:01,25,19,[],409331,True,"Washington, DC",,en
21858,0,RT @srpeatling: . @SenatorHume: 'Perhaps Senator Rice can enlighten us as to which piece of anatomy really does cause climate change.',870089532497997824,"RT @srpeatling: . @SenatorHume: ""Perhaps Senator Rice can enlighten us as to which piece of anatomy really does cause climate change.""",True,False,,2017-06-01 01:28:04,5,2,[],21427,False,Canberra,,en
21859,1,"RT @Realityshaken: Trump doesn't understand, or care about, climate change, Paris Agreement, or the future. #parisclimateagreement 
https:…",870094066134003713,n,n,n,n,n,-999,-999,n,-999,-999,n,-999.0,n
21860,1,"RT @NatGeo: Bringing together geologists, engineers, agronomists and more, this book offers 100 solutions for global warming https://t.co/p…",870095220066500609,n,n,n,n,n,-999,-999,n,-999,-999,n,-999.0,n
21861,-1,RT @mitchellvii: Did the climate change before man? Then how do you know it's our fault now? Post hoc fallacy. Google it.,870103645232271360,RT @mitchellvii: Did the climate change before man? Then how do you know it's our fault now? Post hoc fallacy.  Google it.,True,False,,2017-06-01 02:24:09,266,661,[],508223,True,"Miami, FL",,en
21862,-1,@realDonaldTrump An important issue and one of many reason I back you. Please DON'T do global warming crap,870107875649216516,@realDonaldTrump An important issue and one of many reason I back you. Please DON'T do global warming crap,False,False,,2017-06-01 02:40:58,0,0,[],150,False,Nashville IN,,en
21863,1,RT @JasonKander: God gave us the brainpower to understand climate change and enough natural resources to take care of it. God is wai…,870111930362585091,RT @JasonKander: God gave us the brainpower to understand climate change and enough natural resources to take care of it. God is waiting on…,True,False,,2017-06-01 02:57:04,2038,5617,[],334638,True,"Kansas City, MO",,en
21864,1,"@TimWattsMP Isn't that part of the Secret Coalition agreement ?
To do as little as possible/thwart climate change policy
 #auspol",870114160201183232,"@TimWattsMP Isn't that part of the Secret Coalition agreement ?
To do as little as possible/thwart climate change policy
 #auspol",False,False,,2017-06-01 03:05:56,0,0,"[{'text': 'auspol', 'indices': [122, 129]}]",2000,False,York WA,,en
21865,1,Y'all climate change is real like idek how this is still a debate ����,870121027816312833,Y'all climate change is real like idek how this is still a debate 🙄😩,False,False,,2017-06-01 03:33:13,0,1,[],449,False,"Missouri, USA",,en
21866,2,RT @Slate: Trump can’t stop corporate America from fighting climate change: https://t.co/kzjle6DPWj https://t.co/9yYYcd38jN,870125173575344130,RT @Slate: Trump can’t stop corporate America from fighting climate change: https://t.co/kzjle6DPWj https://t.co/9yYYcd38jN,True,False,,2017-06-01 03:49:42,58,126,[],1792347,True,,,en
21867,0,"RT @sbpdl: If you want to see real climate change, look at 90% white Detroit in 1940 versus 7% white Detroit in 2017.... Demography is dest…",870128041296572416,n,n,n,n,n,-999,-999,n,-999,-999,n,-999.0,n
21868,0,RT @thoneycombs: i don't really fuck with climate change analysis centered around how 'humans are a plague on the earth' or whatever,870128042588483585,n,n,n,n,n,-999,-999,n,-999,-999,n,-999.0,n
21869,-1,RT @worldnetdaily: 'The 'climate change' mantra has always been about promoting two things – global governance unaccountable to the... http…,870132135230939136,"RT @worldnetdaily: ""The 'climate change' mantra has always been about promoting two things – global governance unaccountable to the... http…",True,False,,2017-06-01 04:17:21,68,72,[],76708,True,,,en
21870,2,RT @WIRED: This is what pulling out of the Paris Agreement means for climate change—and America https://t.co/HYlt4LTyzn,870136462792040449,RT @WIRED: This is what pulling out of the Paris Agreement means for climate change—and America https://t.co/HYlt4LTyzn,True,False,,2017-06-01 04:34:33,104,104,[],10417181,True,San Francisco/New York,,en
21871,0,#IGES exchanged the views on climate change policy with #Tsinghua Unveristy. IGES and Tsinghua started the research… https://t.co/Pxs4RDQEHN,870144877836648448,#IGES exchanged the views on climate change policy with #Tsinghua Unveristy. IGES and Tsinghua started the research… https://t.co/Pxs4RDQEHN,False,False,,2017-06-01 05:08:00,0,0,"[{'text': 'IGES', 'indices': [0, 5]}, {'text': 'Tsinghua', 'indices': [56, 65]}]",846,False,Japan,,en
21872,1,"RT @McFaul: Please @realDonaldTrump , study the long term implications of climate change. I know you care about conflict &amp; mig…",870154694248849408,"RT @McFaul: Please @realDonaldTrump , study the long term implications of climate change.  I know you care about conflict &amp; migration issue…",True,False,,2017-06-01 05:47:00,122,315,[],445011,True,"Stanford, California",,en
21873,1,One can only hope that the little we are doing to prevent climate change isn't decimated tomorrow. https://t.co/ZdfKn3ttLR,870155688839966723,n,n,n,n,n,-999,-999,n,-999,-999,n,-999.0,n
21874,0,RT @JoshButler: FFS I look away from Twitter for FIVE MINUTES and Malcolm Roberts starts talking about dicks and climate change,870156860803895296,RT @JoshButler: FFS I look away from Twitter for FIVE MINUTES and Malcolm Roberts starts talking about dicks and climate change,True,False,,2017-06-01 05:55:37,96,239,[],22033,True,"Sydney, Australia",,en
21875,0,RT @DavidCornDC: Will White House break out the champagne popsicles to celebrate withdrawing from the Paris climate change accord?,870164549663588352,RT @DavidCornDC: Will White House break out the champagne popsicles to celebrate withdrawing from the Paris climate change accord?,True,False,,2017-06-01 06:26:10,1670,4833,[],790942,True,"Washington, DC",,en
21876,1,Because climate change is a game show. https://t.co/7t1RQMuBbh,870166808673882112,n,n,n,n,n,-999,-999,n,-999,-999,n,-999.0,n
21877,1,"RT @bani_amor: Contacting reps isn't enough. If yr tryna make sense of climate change, race, place, class,+gender, here's some help https:/…",870167955539099648,"RT @bani_amor: Contacting reps isn't enough. If yr tryna make sense of climate change, race, place, class,+gender, here's some help https:/…",True,False,,2017-06-01 06:39:42,5,10,[],5393,False,"Jackson Heights, Queens",,en
21878,2,RT @NYtitanic1999: @GuyVerhofstadt Boris Johnson thinks no one should tell Donald Trump he's wrong about climate change https://t.co/4Zfs2u…,870170168412033024,n,n,n,n,n,-999,-999,n,-999,-999,n,-999.0,n
21879,1,please send him to Venus so he can experience what global warming really is. no walls can protect him there. right… https://t.co/vl1NevcQnT,870171444184993792,n,n,n,n,n,-999,-999,n,-999,-999,n,-999.0,n
21880,1,"Human rights, climate change, supply chain, business ethics, CG: most important engagement issues for Swiss investo… https://t.co/jAY8akxikq",870171446454226947,"Human rights, climate change, supply chain, business ethics, CG: most important engagement issues for Swiss investo… https://t.co/jAY8akxikq",False,False,,2017-06-01 06:53:34,0,1,[],322,False,,,en
21881,1,"No offense to a good meme, but could y'all chill on the whole #covfefe thing to talk about, you know, the whole climate change business.",870171498597818368,n,n,n,n,n,-999,-999,n,-999,-999,n,-999.0,n
21882,1,"RT @fiona_stout: I don't really care what your political views are, but how can you not 'believe' in global warming. It's not Santa Claus,…",870172571634892800,"RT @fiona_stout: I don't really care what your political views are, but how can you not 'believe' in global warming. It's not Santa Claus,…",True,False,,2017-06-01 06:58:02,10,28,[],1808,False,"New York, USA",,en
21883,2,RT @Joannechocolat: Amber Rudd: We wouldn't consider telling Trump he's wrong about climate change because 'that's not how diplomacy wo…,870173657557086208,RT @Joannechocolat: Amber Rudd: We wouldn't consider telling Trump he's wrong about climate change because 'that's not how diplomacy works.…,True,False,,2017-06-01 07:02:21,173,300,[],69105,True,the Shed,,en
21884,1,"RT @tha_rami: When climate change starts having disastrous effect, I say we jail every person in government voting against climate exactly…",870173715505565696,"RT @tha_rami: When climate change starts having disastrous effect, I say we jail every person in government voting against climate exactly…",True,False,,2017-06-01 07:02:35,205,785,[],163307,True,"30,000ft",,en
21885,1,"RT @NYGovCuomo: With or without Washington, we're working to aggressively fight climate change. #ParisAgreement https://t.co/xXf5N3BcE0",870174877314985984,"RT @NYGovCuomo: With or without Washington, we're working to aggressively fight climate change. #ParisAgreement https://t.co/xXf5N3BcE0",True,False,,2017-06-01 07:07:12,1140,3240,"[{'text': 'ParisAgreement', 'indices': [80, 95]}]",861105,True,New York,,en
21886,1,RT @Jaffe4Congress: I know that climate change is a paramount threat to our future. Time to clean house of polluters' rigged science and bo…,870176077859180546,RT @Jaffe4Congress: I know that climate change is a paramount threat to our future. Time to clean house of polluters' rigged science and bo…,True,False,,2017-06-01 07:11:58,99,189,[],16255,True,"San Francisco, CA",,en
